,Mean,Median,Std,MAD,Skewness,Kurtosis,Outlier_ratio
ΔGray,1.5145454545454546,1.29,3.839048913952954,1.94,0.09116971460369179,2.1797155411425297,0.019138755980861243
ΔGreen,2.2796172248803828,1.61,4.126636296817358,1.57,1.2444995752757213,4.192600754534433,0.019138755980861243
